Golfer ,No.,Cashes,Cash %,Top10s,$/Event,OWGR,Value
Scottie Scheffler  ,25,22,0.88,16,1083362,11.79,9.19
Rory McIlroy  ,25,22,0.88,17,741760,10.74,6.91
Jon Rahm  ,25,23,0.92,11,638726,10.27,6.22
Patrick Cantlay  ,25,21,0.84,10,448386,6.86,6.54
Viktor Hovland  ,25,23,0.92,7,434701,6.33,6.87
Xander Schauffele  ,25,22,0.88,7,307308,6.17,4.98
Max Homa  ,25,21,0.84,6,272024,5.22,5.21
Brian Harman  ,25,18,0.72,5,323290,4.92,6.57
Matthew Fitzpatrick  ,25,19,0.76,8,441120,4.85,9.1
Wyndham Clark  ,25,18,0.72,2,229768,4.63,4.96
Jordan Spieth  ,25,19,0.76,7,285293,4.43,6.44
Tyrrell Hatton  ,25,25,1,6,346370,4.35,7.96
Keegan Bradley  ,25,18,0.72,4,284013,4.18,6.79
Cameron Young  ,25,19,0.76,6,295065,4.17,7.08
Tony Finau  ,25,20,0.8,2,126376,4.09,3.09
Tom Kim  ,23,19,0.83,5,196762,4.04,4.87
Jason Day  ,25,18,0.72,7,209517,3.93,5.33
Sam Burns  ,25,18,0.72,4,277963,3.91,7.11
Collin Morikawa  ,25,16,0.64,8,280211,3.86,7.26
Tommy Fleetwood  ,25,21,0.84,7,212388,3.86,5.5
Sepp Straka  ,25,18,0.72,4,205689,3.68,5.59
Rickie Fowler  ,25,20,0.8,4,191205,3.65,5.24
Sungjae Im  ,25,20,0.8,5,202151,3.44,5.88
Kurt Kitayama  ,23,12,0.52,5,328310,3.23,10.16
Russell Henley  ,25,19,0.76,1,141627,3.12,4.54
Corey Conners  ,25,19,0.76,4,180270,2.77,6.51
Hideki Matsuyama  ,25,21,0.84,3,185218,2.74,6.76
Denny McCarthy  ,25,19,0.76,4,222619,2.73,8.15
Justin Rose  ,25,16,0.64,3,106194,2.73,3.89
Emiliano Grillo  ,25,14,0.56,2,97504,2.7,3.61
Sahith Theegala  ,25,21,0.84,5,186039,2.67,6.97
Si Woo Kim  ,25,17,0.68,1,106043,2.54,4.17
Harris English  ,25,18,0.72,5,220381,2.43,9.07
J.T. Poston  ,25,15,0.6,2,68778,2.37,2.9
Tom Hoge  ,25,14,0.56,3,150249,2.24,6.71
Chris Kirk  ,25,17,0.68,2,82864,2.2,3.77
Nick Taylor  ,25,15,0.6,1,120056,2.12,5.66
Adam Schenk  ,25,13,0.52,1,63741,2.09,3.05
Cameron Davis  ,25,16,0.64,3,127417,2,6.37
Taylor Moore  ,18,11,0.61,0,80468,1.98,4.06
Lucas Glover  ,25,15,0.6,1,63335,1.89,3.35
Seamus Power  ,25,14,0.56,2,98151,1.87,5.25
Lee Hodges  ,16,9,0.56,1,101576,1.86,5.46
Brendon Todd  ,25,18,0.72,2,63506,1.81,3.51
Byeong-Hun An  ,25,15,0.6,1,63755,1.81,3.52
Keith Mitchell  ,25,21,0.84,3,130363,1.76,7.41
Adam Hadwin  ,25,17,0.68,3,109131,1.75,6.24
Adam Svensson  ,16,11,0.69,1,105185,1.72,6.12
Andrew Putnam  ,25,15,0.6,3,98572,1.71,5.76
Matt Kuchar  ,25,15,0.6,2,70894,1.7,4.17
Alex Smalley  ,15,8,0.53,2,69563,1.58,4.4
Taylor Montgomery  ,13,7,0.54,0,64281,1.53,4.2
Eric Cole  ,7,6,0.86,0,127807,1.51,8.46
Patrick Rodgers  ,25,13,0.52,0,54359,1.43,3.8
Thomas Detry  ,12,9,0.75,1,78772,1.43,5.51
Mackenzie Hughes  ,25,12,0.48,1,63252,1.41,4.49
J.J. Spaun  ,25,14,0.56,2,68520,1.37,5
Brandon Wu  ,14,4,0.29,1,42292,1.32,3.2
Mark Hubbard  ,25,15,0.6,0,49596,1.32,3.76
Davis Riley  ,18,11,0.61,1,91265,1.31,6.97
Hayden Buckley  ,15,7,0.47,1,92405,1.3,7.11
Aaron Rai  ,18,14,0.78,1,87631,1.27,6.9
Stephan Jaeger  ,16,9,0.56,0,31322,1.26,2.49
Beau Hossler  ,25,14,0.56,1,51201,1.11,4.61
Sam Ryder  ,25,12,0.48,1,41897,1.11,3.77
Ben Griffin  ,9,5,0.56,0,81547,1.09,7.48
Sam Stevens  ,6,4,0.67,0,34677,1.09,3.18
Matthew NeSmith  ,25,9,0.36,0,23920,1.08,2.21
Nick Hardy  ,10,3,0.3,0,52445,0.94,5.58
Vincent Norrman  ,2,0,0,0,0,0.83,0